"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",0.37565130260521,0.758470711075783,0.534311106794231,1.07536312942539,3748,27,"GNB1;P2RY11;GNAI2;PRKAR1A"
"REACTOME_AGGREPHAGY",0.206273474774135,0.728624026885993,0.620663460386781,1.21681952160765,2031,17,"HSF1;TUBB4B;VCP;DYNC1H1;TUBA1A;PCNT"
"REACTOME_AMINO_ACIDS_REGULATE_MTORC1",0.0760935295303366,0.691887462951765,0.676682312083075,1.34373455759025,754,21,"NPRL3;RPTOR;DEPDC5"
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE",0.483751624837516,0.778760812443346,0.489469594027558,1.00737532527734,4837,51,"CSNK1D;HAUS8;PAFAH1B1;TUBB4B;CNTRL;DCTN1;MARK4;RAB11A;C2CD3;DYNC1H1;RAB8A;CKAP5;PPP2R1A;TUBA1A;ODF2;PCNT"
"REACTOME_ANTI_INFLAMMATORY_RESPONSE_FAVOURING_LEISHMANIA_PARASITE_INFECTION",0.470994198839768,0.77086050543442,0.4998365859198,1.01573580670157,4708,36,"GNB1;P2RY11;MYH9;GNAI2;MAPK14;PRKAR1A;FYN;DPEP1;ITPR2"
"REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION",0.915983196639328,0.938930583611503,0.348516452549131,0.706090546484186,9157,33,"PSMD13;IKBKG;PSMB7;PSME4;PSMD4;PSMA4;CTSS;PSMF1;PSMB2;MRC2;PSMC4;PSMC5;TLR2;PSMD1;PSMC2;SEC61A1;IKBKB;PSMA1;PSMD2;LNPEP"
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.432956704329567,0.758470711075783,0.482175004774622,1.01798518458189,4329,147,"ZBTB16;UBE2J2;UBR2;ANAPC11;UBR4;CBLB;SH3RF1;UBE2L3;HERC1;FBXO22;PSMD13;FBXW5;UNKL;UBE2G1;UBE2G2;CUL1;UBR1;UBE2Q2;RNF213;TRIM37;UBE2D2;UBE3C;FBXL16;UBAC1;ITCH;TRAF7;UBE3A;FBXW11;RNF126;KLHL11;STUB1;HECTD1;FZR1;RBX1;VHL;HUWE1"
"REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES",0.963992798559712,0.977934843166981,0.311038236432784,0.632071926901289,9637,36,"NUP133;NUP214;NUP85;NUP153;FLNA;KPNA5;ISG15;EIF4E3;NUP160;TPR;EIF4A3;PPM1B;NUP210;ARIH1;NUP205;KPNB1;NUP37;DDX58"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",0.818663732746549,0.89418387184121,0.398794784189575,0.807953900149847,8184,33,"ANAPC11;PSMD13;FZR1;PSMB7;PSME4;CDC27;PSMD4;PSMA4;PSMF1;ANAPC16;PSMB2;PSMC4;PSMC5;ANAPC7"
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",0.754050810162032,0.881295368301358,0.424654140502355,0.864013551468458,7538,37,"ANAPC11;PSMD13;CDC14A;CUL1;FZR1;PSMB7;PSME4;CDC27;PSMD4;PSMA4;PSMF1;ANAPC16;PSMB2;PSMC4;PSMC5;ANAPC7"
"REACTOME_APOPTOSIS",0.0205979402059794,0.616819363872775,0.638311452941202,1.32482048883243,205,71,"PLEC;SPTAN1;PPP3CC;TICAM1;CARD8;YWHAB;STK24;PSMD13;NMT1;ADD1;SATB1;TP53BP2;BCAP31;YWHAZ;AKT1;BCL2"
"REACTOME_APOPTOTIC_EXECUTION_PHASE",0.00436503908232667,0.616819363872775,0.826962413380486,1.62127154643528,42,17,"PLEC;SPTAN1;STK24;ADD1;SATB1;BCAP31"
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.194680531946805,0.728624026885993,0.525498452977441,1.10466781804466,1946,122,"SPTAN1;PPP6R1;DOLK;ARFGAP3;CSNK1D;MAN1B1;SEC16A;GMPPB;SEC22C;PPP6R3;TRAPPC10;GANAB;MGAT2;CAPZB;TUBB4B;TMEM115;EDEM3;LMAN2;DCTN1;VCP;SPTBN1;TBC1D20;SCFD1;DYNC1H1;ALG12;TUBA1A;ARFGAP1;UGGT1;SEC31A;ST3GAL2;AMDHD2;COPZ1;CANX;ARF1;SEC23IP"
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",0.490914627956553,0.782921396333887,0.514286562394097,1.00826610355256,4835,17,"WRAP53;FBXW5;AP3M1;STAT3;FBXL5;FBXW2"
"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS",0.876657292085175,0.912724940451382,0.361060360829927,0.722191819702393,8727,24,"PSMD13;PSMB7;PSME4;PSMD4;PSMA4;PSMF1;PSMB2;PSMC4;PSMC5;PSMD1;PSMC2;SMURF1;PSMA1;PSMD2;DVL2;SMURF2;PSMB5"
"REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA",0.798510466988728,0.89418387184121,0.399514428486704,0.7959168174201,7933,22,"PSMD13;PABPC1;PSMB7;PSME4;PSMD4;PSMA4;PSMF1;PSMB2;PSMC4;PSMC5;PSMD1;PSMC2;PSMA1;HSPB1;PSMD2"
"REACTOME_AURKA_ACTIVATION_BY_TPX2",0.540108021604321,0.789555154794109,0.478515689490078,0.979939836825582,5399,43,"CSNK1D;HAUS8;PAFAH1B1;TUBB4B;CNTRL;DCTN1;DYNC1H1;CKAP5;PPP2R1A;TUBA1A;ODF2;PCNT"
"REACTOME_AUTOPHAGY",0.117488251174883,0.721353303266165,0.575855588764799,1.19135012062494,1174,62,"HSF1;TSC2;PRKAG1;VPS37B;CHMP7;WIPI2;TUBB4B;TSC1;WDR45B;VCP;VPS28;RPTOR;DYNC1H1;MAP1LC3B;GABARAP;TUBA1A;PEX5;SQSTM1;PCNT;CSNK2A1"
"REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING",0.498150184981502,0.782921396333887,0.484961643957102,1.0007731833789,4981,57,"GNB1;RHOA;TNRC6B;PSMD13;AP2A2;TNRC6A;AGO3;DVL1;WNT11;LEF1;NLK;NFATC1;PSMB7;DVL3;ITPR2;PSME4;PSMD4;PSMA4;PLCB1;AP2S1;PSMF1;AP2B1;RAC1;PSMB2;PSMC4;MOV10;PSMC5"
"REACTOME_BIOLOGICAL_OXIDATIONS",0.993098619723945,0.998625268917598,0.23746778618339,0.481107154891009,9928,33,"PTGES3;BPHL;DPEP1;MTRR;CYB5B;ACSS2;AHRR;UGDH;GSS;CYP51A1;TRMT112;UGP2;MTR;CES2;MAT2A;TPST1;NCOA2;NCOA1;MAOA"
"REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN",0.546738803727082,0.789555154794109,0.484483916296906,0.976815669247606,5456,28,"DOLK;GMPPB;ALG12;ST3GAL2;AMDHD2;GFPT1;ST6GAL1;ALG13;NEU3"
"REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION",0.247599591419816,0.728624026885993,0.612238998739199,1.19013363791272,2423,15,"VPS37B;CHMP7;VPS28"
"REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS",0.423757624237576,0.758470711075783,0.500500495559358,1.03221453339359,4237,55,"PDPK1;CREBBP;NFATC3;PSMD13;EP300;CUL1;IKBKG;RPS6KA5;UBE2D2;RELA;FBXW11;FYN;NFATC1;PSMB7;ITPR2;PSME4;PSMD4;RAF1;PSMA4;PSMF1;NFKB1;PSMB2;PSMC4;PSMC5;ICAM3"
"REACTOME_CA2_PATHWAY",0.345813204508857,0.758470711075783,0.552581253541248,1.1008581451,3435,22,"GNB1;TNRC6B;TNRC6A;AGO3;WNT11;LEF1;NLK;NFATC1;ITPR2;PLCB1"
"REACTOME_CARDIAC_CONDUCTION",0.42940232651424,0.758470711075783,0.520345906944665,1.04549955292615,4281,26,"ATP2A2;ATP1A1;ATP2A3;KCNK7;KCNK16;NPR2;ITPR2;ORAI1"
"REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS",0.386816044813444,0.758470711075783,0.516473267050067,1.05599483753157,3866,41,"SH3GL1;LDLR;AP2A2;GRB2;EPS15L1;ITSN2;CD4;EPS15;CLTCL1;EPN1;PICALM;REPS1;TGOLN2;AGFG1;COPS7A;NECAP1;AP2S1;AP2B1"
"REACTOME_CD28_CO_STIMULATION",0.225638406537283,0.728624026885993,0.622186439589641,1.20947050471088,2208,15,"GRAP2;PDPK1;GRB2;AKT1;RICTOR;FYN"
"REACTOME_CDC42_GTPASE_CYCLE",0.0546945305469453,0.616819363872775,0.619551560598912,1.27586170362852,546,53,"ARFGAP3;ARHGAP35;CDC42SE2;GNA13;FNBP1;ARHGAP39;KTN1;GIT2;BAIAP2;IQGAP1;FAM13B;SPATA13;ARHGEF12"
"REACTOME_CDT1_ASSOCIATION_WITH_THE_CDC6_ORC_ORIGIN_COMPLEX",0.819356777877968,0.89418387184121,0.395389746336996,0.797184151403541,8177,28,"PSMD13;PSMB7;ORC5;PSME4;PSMD4;PSMA4;PSMF1;PSMB2;PSMC4;CDT1;PSMC5;ORC4;PSMD1;MCM8;CDC6;PSMC2"
"REACTOME_CELL_CELL_COMMUNICATION",0.011001100110011,0.616819363872775,0.696179648496459,1.4276469400097,109,45,"PLEC;SPTAN1;ACTG1;ACTN4;GRB2;NCK2;ACTB;CD151;IQGAP1;CLDN15;SPTBN1;PTK2;CTNND1;FLNA;PTPN11;PXN;FYN;FERMT2"
"REACTOME_CELL_CYCLE",0.667033296670333,0.856510203450012,0.450524945342905,0.961428681488394,6670,283,"POLR2A;CSNK1D;CHMP7;SUN2;ANAPC11;POLE;HAUS8;PPP6R3;CDK11B;DIDO1;SET;POLA2;WRAP53;YWHAB;UBE2I;PAFAH1B1;PSMD13;EP300;POLR2L;UIMC1;NUP133;NUP214;MDM4;CDC14A;KNTC1;CUL1;TUBB4B;STAG2;CNTRL;NHP2;CDK11A;RBL1;RUVBL1;DCTN1;YWHAZ;CDC25B;NUP85;SUN1;NUP153;DYRK1A;AKT1;NCAPG2;RNF168;PDS5A;BRCC3;ANKLE2;RPA1;PIAS4;FBXW11;DYNC1H1;RAB8A;CKAP5;PHF20;RBBP7;WAPL;FZR1;PPP2R1A;RBX1;NIPBL;CDKN2D;TUBA1A;RSF1;CTC1;CENPC;ODF2;POLR2B;PPP1R12A;TAOK1;PCNT;MAPK1;YWHAQ;CSNK2A1;NDEL1;ATRIP;NCAPD3;PSMB7;TUBG1;RFC1;NCAPH2;ORC5;PSME4;CDC27;PPP2R5D;PSMD4;MAD1L1;RAD50;PSMA4;CENPO;NDC80;PPP2R1B;SMC3;PSMF1;GINS2;YWHAG;CDK5RAP2;ATM;TUBGCP3;AHCTF1;CHMP6;RNF8;ANAPC16;NEK6;PSMB2;PPP2R2D;IST1;PSMC4;CDT1;PSMC5;ORC4;PCM1;RTEL1;SFI1;NUP160;KIF20A;ACTR1A;RAB1B;HDAC1;ANAPC7;NEK7;TUBGCP6;NME7;UBE2V2;LIN9;TPR;NEK9"
"REACTOME_CELL_CYCLE_CHECKPOINTS",0.813618638136186,0.89418387184121,0.420853809923274,0.883201771924018,8136,112,"ANAPC11;YWHAB;PAFAH1B1;PSMD13;UIMC1;NUP133;MDM4;KNTC1;YWHAZ;NUP85;RNF168;BRCC3;RPA1;PIAS4;DYNC1H1;CKAP5;PHF20;PPP2R1A;CENPC;TAOK1;YWHAQ;NDEL1;ATRIP;PSMB7;ORC5;PSME4;CDC27;PPP2R5D;PSMD4;MAD1L1;RAD50;PSMA4;CENPO;NDC80;PPP2R1B;PSMF1;YWHAG;ATM;AHCTF1;RNF8;ANAPC16;PSMB2;PSMC4;PSMC5;ORC4"
"REACTOME_CELL_CYCLE_MITOTIC",0.873812618738126,0.912724940451382,0.419462007620422,0.892427819241622,8738,234,"CSNK1D;CHMP7;ANAPC11;POLE;HAUS8;CDK11B;SET;POLA2;UBE2I;PAFAH1B1;PSMD13;EP300;NUP133;NUP214;CDC14A;KNTC1;CUL1;TUBB4B;STAG2;CNTRL;CDK11A;RBL1;DCTN1;CDC25B;NUP85;NUP153;DYRK1A;AKT1;NCAPG2;PDS5A;ANKLE2;RPA1;FBXW11;DYNC1H1;RAB8A;CKAP5;WAPL;FZR1;PPP2R1A;RBX1;NIPBL;CDKN2D;TUBA1A;CENPC;ODF2;PPP1R12A;TAOK1;PCNT;MAPK1;CSNK2A1;NDEL1;NCAPD3;PSMB7;TUBG1;RFC1;NCAPH2;ORC5;PSME4;CDC27;PPP2R5D;PSMD4;MAD1L1;PSMA4;CENPO;NDC80;PPP2R1B;SMC3;PSMF1;GINS2;YWHAG;CDK5RAP2;TUBGCP3;AHCTF1;CHMP6;ANAPC16;NEK6;PSMB2;PPP2R2D;IST1;PSMC4;CDT1;PSMC5;ORC4;PCM1;SFI1;NUP160;KIF20A;ACTR1A;RAB1B;HDAC1;ANAPC7;NEK7;TUBGCP6;NME7;LIN9;TPR;NEK9;LEMD2;CHMP4B;LEMD3;PDS5B;LIN52;PSMD1"
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",0.412419093851133,0.758470711075783,0.536222857257854,1.05867672150322,4077,19,"GNA13;AKAP13;PSEN1;ARHGEF12;SQSTM1;ARHGEF1;RAC1;ARHGEF18"
"REACTOME_CELL_JUNCTION_ORGANIZATION",0.0434782608695652,0.616819363872775,0.686611368317842,1.37616778828387,432,25,"PLEC;ACTG1;ACTB;CD151;CLDN15;CTNND1;FLNA;PXN;FERMT2"
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",0.657288746495795,0.856510203450012,0.451258878847501,0.911472665039982,6564,29,"SPN;GRB2;SLC7A6;GLG1;PTPN11;FYN"
"REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS",0.777522247775222,0.887073699215832,0.422775686612639,0.874777606494755,7775,64,"CREBBP;SIN3A;PSMD13;P4HB;CUL1;NCOR1;CHD9;LRPPRC;SCO2;GPX1;RBX1;CSNK2A1;STAT3;PSMB7;PSME4;PSMD4;MED1;PSMA4;PSMF1;COX5A;COX14;PSMB2;HELZ2;PSMC4;PSMC5;NCOA6"
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",0.0449044904490449,0.616819363872775,0.638149337446791,1.30761587966223,448,44,"HSF1;CREBBP;EP300;NUP133;NUP214;ST13;PTGES3;DEDD2;NUP85;NUP153;VCP;DNAJC7;RPA1;RPTOR;DNAJB1"
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA",0.504405286343612,0.782921396333887,0.495488322717622,1.00080925422909,5037,29,"CREBBP;PSMD13;EP300;UBE2D2;RBX1;VHL;PSMB7;PSME4;PSMD4;PSMA4;PSMF1;PSMB2;PSMC4;PSMC5"
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION",0.35110533159948,0.758470711075783,0.527156490692385,1.07608352289167,3509,40,"NPRL3;RPLP2;RPS5;RPS25;RPTOR;RPS15;DEPDC5"
"REACTOME_CELLULAR_RESPONSES_TO_STIMULI",0.257674232576742,0.735570047646398,0.494368714492427,1.05400513841378,2576,264,"NPRL3;MAP3K5;HSF1;EXOSC4;EHMT1;EP400;CREBBP;ANAPC11;TNRC6B;RPLP2;SIN3A;PSMD13;EP300;MINK1;NUP133;P4HB;MAP4K4;NUP214;MDM4;ST13;CUL1;ADD1;PTGES3;CAPZB;TUBB4B;RPS5;NCOR1;FKBP5;DEDD2;CABIN1;DCTN1;TNRC6A;RPS6KA3;NUP85;NUP153;UBE2D2;RELA;RPS25;DNAJA1;AGO3;MAPK14;VCP;DNAJC7;CHD9;LRPPRC;RPA1;RPTOR;DNAJB1;DYNC1H1;RPS15;PPP1R15A;ATF5;SCO2;SP1;RBBP7;GPX1;FZR1;RBX1;VHL;DEPDC5;CDKN2D;TUBA1A;ARFGAP1;HIRA;MTF1;NFYC;SEC31A;MAPK1;CSNK2A1;APOA1;STAT3;PSMB7;MBTPS1;CBX8;PSME4;CDC27;PSMD4;STIP1;CRTC3;GFPT1;ATP6V0B;MED1;RAD50;PSMA4"
"REACTOME_CELLULAR_SENESCENCE",0.118588141185881,0.721353303266165,0.579629650399847,1.19697889652241,1185,58,"MAP3K5;EHMT1;EP400;ANAPC11;TNRC6B;MINK1;MAP4K4;MDM4;CABIN1;TNRC6A;RPS6KA3;RELA;AGO3;MAPK14;SP1;RBBP7;FZR1;CDKN2D;HIRA;MAPK1;STAT3;CBX8;CDC27"
"REACTOME_CHROMATIN_MODIFYING_ENZYMES",0.0260973902609739,0.616819363872775,0.603133334814255,1.26601175321923,260,114,"KDM2A;NSD1;EHMT1;EP400;CHD3;KMT2D;CREBBP;PBRM1;ARID1A;DOT1L;SMARCC1;KANSL2;EP300;SMARCA4;SETD2;KMT2A;BRD1;SMARCE1;KMT2B;ACTB;NCOR1;BRWD1;RUVBL1;GATAD2B;RELA;KMT2E;GATAD2A;OGT;SETD1B;ING4;KMT2C;ATF7IP;MORF4L1;KDM3B;PHF20;RBBP7;ELP3;KDM3A;ARID4B;HAT1;PRMT7;EPC1;KAT8;PHF21A"
"REACTOME_CHROMOSOME_MAINTENANCE",0.176070428171269,0.726086278046983,0.590515487380232,1.19526507716904,1759,32,"POLR2A;PPP6R3;POLA2;WRAP53;POLR2L;NHP2;RUVBL1;RPA1;RBBP7;RSF1;CTC1;CENPC;POLR2B"
"REACTOME_CILIUM_ASSEMBLY",0.440655934406559,0.758470711075783,0.491120610408531,1.02096117931227,4406,75,"CSNK1D;INPP5E;HAUS8;PAFAH1B1;TUBB4B;CNTRL;TTC30B;DCTN1;MARK4;EXOC3;CLUAP1;RAB11A;BBS1;C2CD3;DYNC1H1;RAB8A;DYNLRB1;CKAP5;PPP2R1A;TUBA1A;ODF2;TRIP11;PCNT"
"REACTOME_CIRCADIAN_CLOCK",0.098887886985272,0.721353303266165,0.634113914860894,1.2784994244153,986,28,"RBM4;CSNK1D;CREBBP;EP300;CUL1;NCOR1;CHD9"
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS",0.958091618323665,0.973960630635444,0.317962529470496,0.646143030483183,9578,36,"P2RY11;GPR183;LPAR6;GAL;NMB;GPR18;LTB4R2;GNRH2;ACKR4;GPR4;GPR68;ANXA1;CCR4"
"REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION",0.613938606139386,0.832733438984869,0.456233980729313,0.965413266864453,6139,167,"ZBTB16;UBE2J2;UBR2;ANAPC11;UBR4;CBLB;SH3RF1;UBE2L3;HERC1;FBXO22;PSMD13;FBXW5;UNKL;UBE2G1;UBE2G2;CUL1;UBR1;UBE2Q2;RNF213;IKBKG;BCAP31;TRIM37;UBE2D2;UBE3C;FBXL16;UBAC1;ITCH;TRAF7;UBE3A;FBXW11;RNF126;KLHL11;STUB1;HECTD1;FZR1;RBX1;VHL;HUWE1;UBE2H;LRSAM1;SEC31A;CANX;PSMB7;PSME4;CDC27;PSMD4;BLMH;PSMA4;CTSS;PSMF1;SEC24A;FBXL5;FBXW2;FBXO9;TRIP12;TRIM41;PSMB2;MRC2;PSMC4;PSMC5;TLR2;UBE2K;RBBP6;FBXL22"
"REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS",0.0897910208979102,0.721353303266165,0.586200061656482,1.21256966309344,897,63,"SNX9;GAK;ACTG1;FNBP1;SH3GL1;LDLR;GAPVD1;AP2A2;GRB2;EPS15L1;ACTB;ARPC2;ITSN2;CD4;EPS15;CLTCL1;EPN1;PICALM;PACSIN2;ARFGAP1;REPS1;TGOLN2;AGFG1;PIK3C2A;COPS7A;NECAP1;AP2S1"
"REACTOME_CLEC7A_DECTIN_1_SIGNALING",0.525252525252525,0.786945957197094,0.482966560014274,0.989634723663979,5251,44,"PDPK1;NFATC3;PSMD13;CUL1;IKBKG;UBE2D2;RELA;FBXW11;NFATC1;PSMB7;ITPR2;PSME4;PSMD4;PSMA4;PSMF1;NFKB1;PSMB2;PSMC4;PSMC5"
"REACTOME_COLLAGEN_FORMATION",0.0297431732819003,0.616819363872775,0.744479310722309,1.45956225319818,292,17,"PLEC;P4HB;CD151"
"REACTOME_COMPLEX_I_BIOGENESIS",0.221887247512813,0.728624026885993,0.594701123470557,1.18722677707458,2207,23,"NDUFS7;NDUFA10"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_ABERRANT_PI3K_IN_CANCER",0.308656957928803,0.758470711075783,0.572368839427663,1.13004053858244,3051,19,"GRB2;FGF22;TRAT1;GAB1;FGFR3;STRN;PTPN11;FYN;RAC1;FLT3LG;IRS2"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER",0.246475995914198,0.728624026885993,0.612956828128868,1.19152902909931,2412,15,"TSC2;PDPK1;AKT1"
"REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",0.369773954790958,0.758470711075783,0.526369367413156,1.06965402112079,3696,36,"ARFGAP3;SURF4;KLC2;USE1;KLC1;TUBB4B;KIF1B;TUBA1A;KIF5B;ARFGAP1;COPZ1;ARF1"
"REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",0.441438733593828,0.758470711075783,0.514778402181946,1.03789536149104,4405,28,"PLA2G6;PAFAH1B1;AGPAT3;CAPZB;TUBB4B;DCTN1;DYNC1H1;TUBA1A;RAB6A"
"REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT",0.500949905009499,0.782921396333887,0.486697573383097,1.00063168845311,5009,49,"SPTAN1;ARFGAP3;CAPZB;TUBB4B;TMEM115;DCTN1;SPTBN1;DYNC1H1;TUBA1A;ARFGAP1;COPZ1;ARF1"
"REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT",0.0927855711422846,0.721353303266165,0.642455164871841,1.29301560051259,925,27,"PPP6R1;CSNK1D;SEC16A;SEC22C;PPP6R3;TRAPPC10;LMAN2;TBC1D20;SCFD1"
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY",0.22640940608984,0.728624026885993,0.592818737807602,1.18346889168368,2252,23,"GRAP2;PDPK1;GRB2;AKT1;CD4;PPP2R1A;PTPN11;RICTOR;FYN;PPP2R5D;PPP2R1B;RAC1"
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",0.782301955250957,0.887353764609698,0.40678923159337,0.807789325045173,7761,21,"PSMD13;PSMB7;PSME4;PSMD4;PSMA4;PSMF1;PSMB2;MRC2;PSMC4;PSMC5"
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",0.772217774219376,0.887073699215832,0.4155428126438,0.840215958784657,7715,31,"PSMD13;CUL1;CDC25B;AKT1;FZR1;PSMB7;PSMD4;PSMA4;PSMF1;PSMB2;PSMC4;PSMC5;LIN9;LIN52;PSMD1"
"REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1",0.526149131767109,0.786945957197094,0.504986433966415,0.981644983398117,5150,15,"CUL1;RBL1;PPP2R1A;CDKN2D;PPP2R1B"
