Chr	Cstart	Orientation	Hit_Count	Span_Count	Nearest_TxStart	TxStart_Gene	Tx_Alt	Within_Gene	Gene_list	Alt_Genes	Gene_Strand	Gene_Feature	Feature_Number
chr11	70285275	+	9	1	1321	NR_031624	MIR548K	Yes	NR_045286,NM_003626,NM_177423	PPFIA1	+	Intron	2
chr11	68159591	+	12	2	-38200	NM_212469	CHKA	Yes	NM_001300907,NM_017635,NM_001300908	SUV420H1	-	Intron	1
chr11	81487601	+	2	1	403235	NR_036186	MIR4300	No					
chr11	6107646	+	1	1	-37	NM_001005181	OR56B4	No					
chr10	17663490	+	21	1	19366	NM_003473	STAM	Yes	NM_003473,NR_037774	STAM	+	Intron	2
chr10	101360091	+	20	1	6059	NM_001256856	BTRC	Yes	NM_003939,NM_001256856,NM_033637	BTRC	+	Intron	1
chr10	101813350	+	10	1	5115	NM_001142434	MGEA5	Yes	NM_012215,NM_001142434	MGEA5	-	Intron	13,14
chr10	36724391	+	1	1	-401465	NM_052997	ANKRD30A	No					
chr10	34531400	+	12	1	283925	NM_001184794	PARD3	Yes	NM_019619,NM_001184789,NM_001184788,NM_001184790,NM_001184791,NM_001184792,NM_001184793,NM_001184787,NM_001184786,NM_001184785,NM_001184794	PARD3	-	Intron	19,18,21,22,23
chr10	8738646	+	1	1	-159342	NR_131944	LOC105755953	No					
chr17	44161550	+	14	2	-9155	NM_080863	ASB16	Yes	NM_001171251,NM_024032	C17orf53	+	Intron	9
chr17	78820879	+	20	1	20008	NM_025090	USP36	Yes	NM_025090	USP36	-	Intron	12
chr17	28721443	+	8	2	894	NR_000013	SNORD42B	Yes	NM_000984	RPL23A	+	Intron	2
chr17	76039223	+	9	1	-11797	NM_001988	EVPL	Yes	NM_001260502,NM_001260503,NR_048541,NM_014230	SRP68	-	Exon	1
chr17	62671163	+	1	1	43763	NM_006039	MRC2	Yes	NM_006039	MRC2	+	Intron	6
chr17	81853119	+	36	1	7549	NM_000918	P4HB	Yes	NM_000918	P4HB	-	Intron	7
chr17	42466115	+	32	2	7272	NM_005177	ATP6V0A1	Yes	NM_001130021,NM_001130020,NM_005177	ATP6V0A1	+	Intron	2
chr17	40059618	+	1	1	-2574	NM_001190919	THRA	No					
chr17	64185065	+	17	1	38727	NR_002995	SNORA76C	Yes	NM_001288733,NM_001288732,NM_018469	TEX2	-	Intron	7
chr17	40395382	+	10	2	22568	NM_001067	TOP2A	Yes	NM_001067	TOP2A	-	Intron	6
chr17	81853432	+	12	1	7236	NM_000918	P4HB	Yes	NM_000918	P4HB	-	Intron	7
chr16	69633792	+	8	1	67827	NM_138714	NFAT5	Yes	NM_173215,NM_173214,NM_001113178,NM_006599,NM_138714,NM_138713	NFAT5	+	Intron	3,2
chr16	52521608	+	7	1	25286	NM_001080430	TOX3	Yes	NM_001080430,NM_001146188	TOX3	-	Intron	7,6
chr16	67591571	+	7	1	29165	NM_006565	CTCF	Yes	NM_001191022,NM_006565	CTCF	+	Intron	2
chr16	1968708	+	13	3	1835	NM_174903	RNF151	Yes	NM_174903	RNF151	+	Exon	4
chr16	2979372	+	24	1	1167	NM_182687	PKMYT1	Yes	NM_001258450,NM_004203,NM_001258451,NM_182687	PKMYT1	-	Intron	7
chr16	30701237	+	5	5	2097	NM_006662	SRCAP	Yes	NM_006662	SRCAP	+	Intron	3
chr16	10687166	+	13	1	7779	NM_144674	TEKT5	Yes	NM_144674	TEKT5	-	Intron	4
chr16	69270847	+	11	1	-40536	NM_013245	VPS4A	Yes	NM_006750	SNTB2	+	Intron	4
chr16	28139587	+	3	2	72331	NM_015171	XPO6	Yes	NM_015171,NM_001270940	XPO6	-	Intron	15
chr16	1776068	+	34	2	2841	NM_001257370	EME2	Yes	NM_001257370	EME2	+	Exon	8
chr16	1969477	+	16	3	-2585	NM_006453	TBL3	No					
chr16	2069708	+	15	2	20576	NR_030646	MIR1225	Yes	NM_000548,NM_001077183,NM_001114382	TSC2	+	Intron	16
chr16	87527757	+	23	2	33571	NR_110943	LOC101928737	No					
chr16	688222	+	22	2	2202	NM_032259	WDR24	Yes	NM_032259	WDR24	-	Intron	8
chr16	62843236	+	13	2	-655590	NR_028369	RNU6-21P	No					
chr15	27318785	+	1	1	-157466	NR_120343	GABRG3-AS1	Yes	NM_001270873,NM_033223	GABRG3	+	Intron	3
chr15	42270789	+	13	2	2795	NM_001286487	TMEM87A	Yes	NM_001286487,NM_015497,NM_001110503	TMEM87A	-	Intron	18,5
chr15	71993322	+	3	1	-120935	NM_001166340	SENP8	Yes	NM_006901	MYO9A	-	Intron	32
chr15	74946542	+	5	1	-8388	NM_004255	COX5A	No					
chr15	25350674	+	32	2	54832	NM_130838	UBE3A	Yes	NM_130838,NM_130839,NM_000462	UBE3A	-	Intron	2
chr15	45770041	+	1	1	135302	NM_021199	SQRDL	No					
chr14	103497829	+	3	1	25030	NM_001823	CKB	Yes	NM_001128918,NM_002376,NM_001128920,NM_001128921,NM_001128919	MARK3	+	Intron	15,14
chr14	92118323	+	4	1	3486	NM_004545	NDUFB1	Yes	NM_004545	NDUFB1	-	Intron	2
chr14	76030107	+	17	2	44355	NM_001102564	IFT43	Yes	NM_001255995,NM_001102564,NM_052873,NR_045665,NR_045664	IFT43	+	Intron	3
chr14	54789756	+	2	2	34969	NM_001161577	SAMD4A	Yes	NM_015589,NM_001161577,NM_001161576	SAMD4A	+	Exon	11,9,12
chr19	1202434	+	21	3	-3364	NM_000455	STK11	No					
chr19	49606255	+	42	2	14601	NM_020719	PRR12	Yes	NM_020719	PRR12	+	Intron	6
chr19	1186533	+	9	3	-12250	NM_014963	SBNO2	No					
chr19	1874060	+	4	1	-10495	NM_031918	KLF16	No					
chr19	39015021	+	1	1	17575	NM_178820	FBXO27	No					
chr19	15357938	+	17	2	21863	NM_005858	AKAP8	Yes	NM_005858	AKAP8	-	Intron	1
chr19	45842710	+	4	1	20580	NM_004819	SYMPK	Yes	NM_004819	SYMPK	-	Intron	19
chr19	41902866	+	7	1	18488	NM_199002	ARHGEF1	Yes	NM_199002,NM_198977,NM_004706	ARHGEF1	+	Exon	18,17
chr19	12809775	+	13	1	3162	NM_006397	RNASEH2A	Yes	NM_006397	RNASEH2A	+	Intron	4
chr19	48707518	+	13	1	-3670	NR_131188	LOC105447645	No					
chr19	1476671	+	52	2	2558	NM_152482	C19orf25	Yes	NM_152482	C19orf25	-	Intron	1
chr18	12900051	+	7	1	-15716	NM_080423	PTPN2	No					
chr22	45711699	+	4	4	39902	NM_013236	ATXN10	Yes	NM_013236,NM_001167621	ATXN10	+	Intron	5,4
chr22	27961846	+	13	2	-41234	NR_036169	MIR3199-1	Yes	NR_026963	TTC28-AS1	+	Intron	2
chr22	17767001	+	1	1	-2742	NR_036168	MIR3198-1	Yes	NM_197967,NM_197966,NM_001244567,NM_001196,NM_001244570,NM_001244572,NM_001244569	BID	-	Intron	3,5,4
chr22	29277626	+	5	1	9618	NM_001163286	EWSR1	Yes	NM_013986,NM_001163285,NM_005243,NM_001163287,NM_001163286	EWSR1	+	Intron	5,4
chr20	34849013	+	14	2	-14551	NR_002165	HMGB3P1	Yes	NM_178026	GGT7	-	Intron	1
chr21	45544142	+	1	1	-1671	NM_001205206	SLC19A1	No					
chr21	16435798	+	1	1	-103290	NR_029514	MIR99A	Yes	NR_027791,NR_027790,NR_111005,NR_111004	MIR99AHG	+	Intron	3,4
chr7	99347401	+	13	1	21529	NM_006409	ARPC1A	Yes	NM_006409,NM_001190996	ARPC1A	+	Intron	4
chr7	151470879	+	27	2	-30066	NR_131779	CRYGN	Yes	NM_005614	RHEB	-	Intron	2
chr7	111539219	+	22	5	23072	NM_032549	IMMP2L	Yes	NM_001244606,NM_032549	IMMP2L	-	Intron	5
chr7	126846047	+	2	1	212137	NR_030323	MIR592	Yes	NR_028041,NM_000845,NM_001127323	GRM8	-	Intron	5,6
chr7	20954037	+	12	2	118607	NR_126381	LINC01162	Yes	NR_126381	LINC01162	+	Intron	2
chr6	95605378	+	14	1	27882	NM_024641	MANEA	Yes	NM_024641	MANEA	+	Intron	4
chr6	4064615	+	19	4	-14590	NM_001085401	C6orf201	Yes	NM_003913	PRPF4B	+	Exon	15
chr6	15315305	+	17	1	66451	NM_001267040	JARID2	Yes	NM_001267040,NM_004973	JARID2	+	Intron	1
chr6	107423594	+	25	2	35981	NM_020381	PDSS2	Yes	NM_020381	PDSS2	-	Intron	7
chr6	43095948	+	10	1	19135	NM_001270398	PTK7	Yes	NM_001270398,NR_072998,NM_152881,NM_152880,NM_002821,NR_072997,NM_152882	PTK7	+	Intron	1
chr6	150722580	+	1	1	122718	NM_001029884	PLEKHG1	Yes	NM_001029884	PLEKHG1	+	Intron	2
chr5	76942401	+	1	1	-10453	NM_001882	CRHBP	No					
chr5	138525867	+	1	1	15844	NM_001291974	ETF1	Yes	NM_004730,NM_001282185,NM_001256302,NM_001291975,NM_001291974	ETF1	-	Intron	9
chr5	132397925	+	1	1	-12847	NR_045116	C5orf56	No					
chr5	177442408	+	10	1	-4386	NM_001174101	PRR7	Yes	NM_001004106,NR_038916,NR_038915,NM_002082	GRK6,PRR7-AS1	+, -	Intron,Exon	2,16
chr5	36102730	+	13	1	-35809	NM_174914	UGT3A2	No					
chr5	140485170	+	32	2	-62495	NM_003732	EIF4EBP3	Yes	NM_020690,NM_017747	ANKHD1,ANKHD1-EIF4EBP3	+	Exon	12
chr5	138536522	+	20	1	5189	NM_001291974	ETF1	Yes	NM_004730,NM_001282185,NM_001256302,NM_001291975,NM_001291974	ETF1	-	Intron	9,10
chr5	176333277	+	8	1	20133	NM_001308200	SIMC1	Yes	NM_198567,NM_001308196,NR_131772,NM_001308200,NM_001308195	SIMC1	+	Intron	9,4,7,6
chr5	57139732	+	1	1	-34215	NM_001203246	GPBP1	No					
chr5	168440376	+	16	2	-46081	NM_002887	RARS	Yes	NM_001161661,NM_015238,NM_001161662	WWC1	+	Intron	15
chr4	1707536	+	9	1	5205	NM_006527	SLBP	Yes	NM_006527,NM_001306075,NM_001306074	SLBP	-	Intron	5,6
chr4	189177894	+	1	1	-481711	NR_121679	LINC01262	No					
chr4	109482342	+	20	1	-6355	NR_030302	MIR576	Yes	NM_001300813,NM_006323,NM_001042734	SEC24B	+	Intron	3,5,4
chr4	55923496	+	35	1	-25311	NM_025009	CEP135	No					
chr4	181046684	+	7	2	112465	NR_033918	LINC00290	No					
chr4	708208	+	3	1	2425	NM_006315	PCGF3	Yes	NM_006315	PCGF3	+	Intron	1
chr4	1814737	+	38	3	21426	NM_022965	FGFR3	Yes	NM_012318	LETM1	-	Intron	1
chr4	15561108	+	22	1	91244	NM_020785	CC2D2A	Yes	NM_001080522	CC2D2A	+	Intron	24
chr4	2703254	+	17	1	52771	NM_001161527	TNIP2	Yes	NM_001256668,NM_001256666,NR_046336,NM_003704,NR_046335,NM_001256667	FAM193A	+	Intron	18,17
chr4	153354042	+	12	1	9394	NM_032117	MND1	Yes	NM_001253861,NM_032117,NR_045605	MND1	+	Intron	2
chr3	183788611	+	14	1	36994	NM_024871	MAP6D1	Yes	NM_018023	YEATS2	+	Intron	20
chr3	21224841	+	3	1	-180884	NR_002311	VENTXP7	No					
chr3	42954894	+	1	1	-18109	NR_122033	KRBOX1-AS1	No					
chr3	17042707	+	9	1	109512	NR_037465	MIR3714	Yes	NM_015184,NM_001144382	PLCL2	+	Intron	3
chr3	58504430	+	4	1	6066	NM_153331	KCTD6	No					
chr3	27007255	+	1	1	209268	NM_001304384	NEK10	No					
chr3	27337248	+	25	1	32212	NM_152534	NEK10	Yes	NM_152534,NM_199347	NEK10	-	Intron	33,19
chr3	27394614	+	31	1	-25154	NM_152534	NEK10	Yes	NM_003615,NM_001258379,NM_001258380	SLC4A7	-	Exon	7,6
chr3	159730016	+	9	1	38596	NR_121669	IQCJ-SCHIP1-AS1	Yes	NM_001197113,NM_001197107,NM_001197108,NM_001197114,NM_014575	SCHIP1,IQCJ-SCHIP1	+	Intron	1,3,4
chr3	121596739	+	27	1	3417	NM_016298	FBXO40	Yes	NM_016298	FBXO40	+	Intron	1
chr3	164247248	+	11	1	-75692	NR_031665	MIR1263	No					
chr3	93470550	+	6	1	503531	NM_001314077	PROS1	No					
chr3	14783073	+	17	1	-35888	NM_152536	FGD5	No					
chr3	168907756	+	14	2	5812	NR_109989	LOC100507661	Yes	NR_109989	LOC100507661	+	Intron	2
chr3	17402222	+	2	2	297798	NM_001134381	TBC1D5	Yes	NM_014744,NM_001134381	TBC1D5	-	Intron	15,14
chr2	177494784	+	17	1	58012	NM_152517	TTC30B	Yes	NM_003659	AGPS	+	Intron	12
chr2	131419349	+	16	1	16449	NR_036499	LINC01120	No					
chr2	211653810	+	1	1	772550	NR_031643	MIR548F2	Yes	NM_005235,NM_001042599	ERBB4	-	Intron	11,12
chr2	61090025	+	14	1	23798	NM_032506	KIAA1841	Yes	NM_032506,NM_001129993	KIAA1841	+	Intron	10
chr2	171927469	+	7	1	5045	NM_003642	HAT1	Yes	NR_027862,NM_003642	HAT1	+	Intron	2
chr2	25814736	+	27	2	63707	NM_018263	ASXL2	Yes	NM_018263	ASXL2	-	Intron	10
chr2	61318322	+	9	1	99055	NR_003707	SNORA70B	Yes	NM_014709	USP34	-	Intron	58
chr2	160594281	+	1	1	-100474	NM_016836	RBMS1	No					
chr2	71386589	+	11	1	54835	NM_001014972	ZNF638	Yes	NM_001252613,NM_001014972,NM_001252612,NM_014497	ZNF638	+	Intron	10
chr2	207904766	+	15	1	120794	NM_001080475	PLEKHM3	Yes	NM_001080475	PLEKHM3	-	Intron	2
chr1	116389896	+	1	1	6527	NM_001160234	ATP1A1	Yes	NM_001160234,NM_000701,NM_001160233	ATP1A1	+	Intron	8
chr1	155670154	+	1	1	9101	NR_132762	SCARNA26A	Yes	NM_139119,NM_001198899,NM_001198905,NM_018253,NM_139121,NM_001198900,NM_001198901,NM_001198902,NM_001198903,NM_001198904,NM_139118,NM_001198906	YY1AP1	-	Intron	3
chr1	233229464	+	7	1	66249	NM_014801	PCNXL2	Yes	NM_014801	PCNXL2	-	Intron	25
chr1	223802907	+	6	5	43065	NM_005426	TP53BP2	Yes	NM_005426,NM_001031685	TP53BP2	-	Intron	11
chr1	45577247	+	10	1	-6740	NM_152298	NASP	No					
chr1	36061350	+	15	1	-22724	NM_014466	TEKT2	No					
chr1	19420210	+	12	1	64497	NM_001282162	CAPZB	Yes	NM_001282162,NM_004930,NM_001313932,NM_001206540,NM_001206541	CAPZB	-	Intron	9,8,4,7
chr1	46273966	+	40	3	26272	NM_003579	RAD54L	Yes	NM_003579,NM_001142548	RAD54L	+	Intron	15,14
chr1	8558128	+	68	2	-63215	NR_132752	SNORD128	Yes	NM_001042681,NM_012102	RERE	-	Intron	19
chr1	40486962	+	8	2	9333	NM_198494	ZFP69	Yes	NM_198494	ZFP69	+	Intron	3
chr1	46273972	+	1	1	26278	NM_003579	RAD54L	Yes	NM_003579,NM_001142548	RAD54L	+	Intron	15,14
chr1	100121528	+	1	1	11567	NM_194292	SASS6	Yes	NM_001304829,NM_194292	SASS6	-	Exon	13
chr1	150465212	+	1	1	-22151	NM_001271895	TARS2	Yes	NM_001297673,NM_015203,NM_001297674	RPRD2	+	Intron	9,10
chr1	10051264	+	8	2	18282	NM_006048	UBE4B	Yes	NM_001105562,NM_006048	UBE4B	+	Intron	1
chr1	151440581	+	17	1	1624	NM_207171	POGZ	Yes	NM_001194937,NM_001194938,NM_015100,NM_207171,NM_145796	POGZ	-	Intron	14,16
chr1	109785811	+	9	1	-21789	NM_133181	EPS8L3	No					
chr1	156094558	+	8	1	12013	NM_001282625	LMNA	Yes	NM_001282625	LMNA	+	Intron	3
chr1	227182560	+	33	2	135565	NM_003607	CDC42BPA	Yes	NM_014826,NM_003607	CDC42BPA	-	Intron	31,30
chr1	85896549	+	18	1	-188116	NM_001170670	ZNHIT6	Yes	NM_152890	COL24A1	-	Intron	32
chr1	31497581	+	2	1	-2503	NR_034112	LINC01225	No					
chr1	227120370	+	18	2	180134	NM_020247	ADCK3	Yes	NM_014826,NM_003607	CDC42BPA	-	Intron	24,25
chr1	156375160	+	1	1	5972	NM_020407	RHBG	Yes	NM_020407,NR_046115,NM_001256396,NM_001256395	RHBG	+	Intron	1,2
chr9	2974105	+	1	1	-129975	NM_014878	PUM3	No					
chr9	31314202	+	7	2	-905748	NR_046204	LINC01242	No					
chr9	133365828	+	1	1	9284	NM_017503	SURF2	Yes	NM_033161,NM_001280788,NM_001280789,NM_001280791,NM_001280790,NM_001280793,NM_001280792	SURF4	-	Intron	1,2
chr9	77338961	+	1	1	-108687	NR_121184	GNA14-AS1	Yes	NM_001018037,NM_015186,NM_001018038,NM_033305	VPS13A	+	Intron	46,47
chr9	137090905	+	27	2	3979	NR_045720	MAN1B1	Yes	NR_045720,NR_045721,NM_016219	MAN1B1	+	Intron	3,4
chr9	13539038	+	11	2	-107709	NR_033863	FLJ41200	No					
chr9	38025443	+	1	1	43770	NM_003028	SHB	Yes	NM_003028	SHB	-	Intron	5
chr9	88306921	+	1	1	-81460	NM_006717	SPIN1	No					
chr9	133968115	+	13	1	24209	NM_003371	VAV2	Yes	NM_003371,NM_001134398	VAV2	-	Intron	26,29
chr9	120747513	+	1	1	-33026	NM_001080497	MEGF9	No					
chr9	93986426	+	1	1	-31100	NM_021570	BARX1	No					
chr8	122696978	+	1	1	-2872	NR_126348	LINC01151	No					
chr8	2884899	+	1	1	-156448	NR_125425	LOC101927815	No					
chr8	68591666	+	10	1	-260175	NR_038877	C8orf34-AS1	Yes	NM_052958	C8orf34	+	Intron	7
chr8	47963186	+	1	1	2984	NM_182746	MCM4	Yes	NM_182746,NM_005914	MCM4	+	Intron	7,6
chr8	21741514	+	1	1	47320	NM_001495	GFRA2	Yes	NM_001495,NM_001165038,NM_001165039	GFRA2	-	Intron	5
chr8	80753613	+	13	2	121168	NM_001033723	ZNF704	Yes	NM_001033723	ZNF704	-	Intron	7
chr8	60597074	+	21	1	80165	NM_002865	RAB2A	Yes	NM_001242644,NM_002865	RAB2A	+	Intron	5,6
chr8	144290650	+	12	1	788	NM_015201	BOP1	Yes	NM_015201	BOP1	-	Intron	15
chr8	144294636	+	15	1	3049	NM_005526	HSF1	Yes	NM_005526	HSF1	+	Intron	1
chr8	21925239	+	21	3	5571	NM_015024	XPO7	Yes	NM_015024	XPO7	+	Intron	1
chrX	118202022	-	9	1	-84682	NM_001168301	KLHL13	No					
chrX	47054247	-	16	1	-24107	NM_001282849	RGN	Yes	NM_001077445,NM_014735	JADE3	+	Exon	9
chrX	66538762	-	1	1	77268	NM_001242310	EDA2R	No					
chrX	108569678	-	38	2	129835	NM_000495	COL4A5	Yes	NM_033380,NM_000495	COL4A5	+	Intron	6
chrX	47995296	-	13	1	8682	NM_006962	ZNF182	Yes	NM_001007088,NM_006962,NM_001178099	ZNF182	-	Intron	3,4
chrX	100017462	-	1	1	-77619	NR_024608	XRCC6P5	No					
chr13	37018304	-	1	1	17764	NM_181503	EXOSC8	Yes	NM_001278482,NM_017569,NM_001014286,NM_001278481,NM_001278480	SUPT20H	-	Intron	3,4
chr13	60539362	-	29	2	-133592	NR_047003	LINC00378	Yes	NM_030794,NM_001146071,NM_001146070	TDRD3	+	Intron	12
chr12	9536424	-	22	1	71477	NM_002258	KLRB1	No					
chr12	53775082	-	1	1	-18048	NR_104332	CISTR	No					
chr12	120407977	-	1	1	-30112	NM_004373	COX6A1	No					
chr12	109970356	-	6	1	26033	NM_057170	GIT2	Yes	NM_057169,NM_014776,NM_057170,NM_001135213,NM_139201,NM_001135214	GIT2	-	Intron	11,8,13,12
chr12	116173769	-	14	1	-25115	NR_030351	MIR620	Yes	NM_015335	MED13L	-	Intron	29
chr12	106451769	-	51	2	93688	NM_001160708	POLR3B	Yes	NM_018082,NM_001160708	POLR3B	+	Intron	19
chr12	72564314	-	17	1	-290805	NR_026837	TRHDE-AS1	Yes	NM_013381	TRHDE	+	Intron	9
chr12	11766140	-	11	1	116287	NM_001987	ETV6	Yes	NM_001987	ETV6	+	Intron	2
chr12	53396221	-	1	1	15578	NM_003109	SP1	Yes	NM_001251825,NM_138473,NM_003109	SP1	+	Intron	3
chr11	11924129	-	12	1	82707	NM_001282659	USP47	Yes	NM_017944,NM_001282659	USP47	+	Intron	11,10
chr11	45940354	-	1	1	17679	NM_001300721	GYLTL1B	Yes	NM_001101802,NM_016621	PHF21A	-	Intron	4
chr11	684229	-	8	1	-11361	NM_001276253	TMEM80	Yes	NM_021008,NM_001293634	DEAF1	-	Intron	6
chr11	9569319	-	8	1	-4361	NM_003390	WEE1	No					
chr11	62801515	-	23	1	3977	NM_001081491	NXF1	Yes	NM_006362,NM_001081491	NXF1	-	Intron	13,14
chr11	11930895	-	14	1	77744	NM_001018057	DKK3	Yes	NM_017944,NM_001282659	USP47	+	Intron	13,14
chr11	9961649	-	8	1	122508	NR_120539	LOC101928008	Yes	NM_030962	SBF2	-	Intron	24
chr11	118579909	-	16	2	7523	NM_001655	ARCN1	Yes	NM_001655,NM_001142281	ARCN1	+	Intron	1
chr11	74370981	-	16	1	27484	NM_173582	PGM2L1	Yes	NM_173582	PGM2L1	-	Exon	11
chr11	64774455	-	17	2	3305	NM_001178031	SF1	Yes	NM_001178030,NM_001178031,NM_004630,NM_201997,NM_201995,NR_033649,NM_201998,NR_033650	SF1	-	Intron	11,10,12
chr11	45974393	-	22	2	51718	NM_001300721	GYLTL1B	Yes	NM_001101802,NM_016621	PHF21A	-	Intron	12
chr11	3945402	-	1	1	89341	NR_039835	MIR4687	Yes	NM_003156,NM_001277961,NM_001277962	STIM1	+	Intron	1
chr11	64750559	-	1	1	-5103	NM_153819	RASGRP2	Yes	NM_001164716,NM_005609	PYGM	-	Exon	4
chr11	63511871	-	23	1	3885	NM_001142538	LGALS12	Yes	NM_033101,NM_001142538,NM_001142536,NM_001142537,NM_001142535	LGALS12	+	Intron	5,7,6
chr10	98823430	-	1	1	101138	NR_106762	MIR6507	Yes	NM_021828,NM_001166246,NM_001166244,NM_001166245	HPSE2	-	Intron	9,8,10
chr10	124759007	-	37	1	-14646	NM_014661	FAM53B	Yes	NM_212554,NM_001304467,NM_001304468	METTL10	-	Exon	1
chr10	68613868	-	1	1	53509	NM_030625	TET1	Yes	NM_030625	TET1	+	Intron	3
chr10	69161518	-	3	1	-18685	NM_003171	SUPV3L1	Yes	NM_001035260,NM_004896	VPS26A	+	Intron	5
chr10	72186268	-	55	3	-29731	NM_173473	ANAPC16	Yes	NM_001198799,NM_001198798,NR_045564,NM_001198800	ASCC1	-	Intron	5,7
chr10	52816415	-	1	1	-44715	NM_000242	MBL2	No					
chr17	4467353	-	1	1	-31480	NM_001124758	SPNS2	Yes	NM_182538	SPNS3	+	Intron	8
chr17	44823714	-	1	1	6525	NM_005497	GJC1	Yes	NM_001080383,NM_005497	GJC1	-	Intron	2
