	gene	span_count	hit_count
172	IRS2	1	1
184	SPECC1L-ADORA2A	1	2
197	NUB1	1	9
192	C21orf91-OT1	1	12
186	KMT2E-AS1	1	2
190	ALDH9A1	1	1
203	PROX2	1	3
187	ATP1A1	1	1
180	PLA2G6	1	1
202	OBFC1	1	1
193	CRK	1	2
188	FOXK2	1	1
195	BAIAP2	1	4
201	GRAP2	1	2
177	CHMP7	1	1
174	SKI	1	4
200	WHSC1L1	1	2
173	SH3BP1	1	3
230	PRKD2	1	1
209	MIR3202-2	1	2
210	LRRC24	1	4
258	MAML1	1	4
260	PAPOLB	1	2
261	RAB8A	1	4
262	AXIN1	1	1
263	MIR7705	1	1
264	GYG2P1	1	1
266	DNAL4	1	4
270	CTSS	1	1
271	ITM2A	1	5
272	KIAA0319L	1	2
276	VPS50	1	2
278	SPTAN1	1	1
280	TNRC6B	1	2
281	MIR6769A	1	1
282	MIR4513	1	1
283	METRN	1	1
284	ABLIM1	1	1
285	GNA13	1	3
286	VTRNA1-1	1	1
287	WNK1	1	1
288	RNF223	1	2
289	MIR4642	1	1
290	RCN3	1	5
257	SEC22C	1	1
255	TAOK3	1	1
254	MIR192	1	2
170	HES7	1	2
211	NRBP2	1	1
212	MAP1LC3B	1	1
213	EFCAB14-AS1	1	5
216	GNB1	1	5
217	FKBP5	1	2
219	RPS6KA5	1	5
221	BNIP3	1	2
223	ZNF778	1	1
226	DKFZP586I1420	1	4
228	FAM234A	1	6
232	DDX47	1	1
253	YTHDF2	1	2
233	UNC93A	1	2
234	ZNF890P	1	2
236	EXOSC4	1	1
238	ITPKB	1	8
239	MIR7112	1	3
241	SH3GL1	1	2
242	RNVU1-20	1	6
246	TMBIM1	1	1
249	ECI1	1	2
252	MIR620	1	2
171	NR1D1	1	1
146	SBF1	1	11
169	NDC80	1	4
43	LINC01140	1	1
47	MIR7641-2	1	2
48	PTTG1IP	1	1
49	PPAPDC1B	1	8
51	BANP	1	1
52	AGAP3	1	3
53	MIR9-1	1	3
55	SOX15	1	1
56	PPP3CC	1	2
57	SACM1L	1	2
58	SNORA17	1	8
59	PSMG1	1	23
60	MIR339	1	1
63	FAM160B2	1	9
64	AGPAT3	1	3
65	CEP78	1	6
66	MTUS1	1	3
67	CDC42BPG	1	2
68	PNKD	1	1
69	GS1-279B7.1	1	5
70	MIR6815	1	2
72	GRINA	1	9
73	CDKN2D	1	5
76	VTI1A	1	1
77	RRN3P2	1	4
78	LPAR6	1	3
80	XPO6	1	2
81	STK17A	1	1
44	PARP10	1	4
42	SEPT2	1	8
168	CDK3	1	2
41	DIP2A-IT1	1	2
2	DDX3X	1	1
3	MOK	1	1
5	PROCA1	1	1
7	USP6NL	1	3
8	GSE1	1	1
12	RNVU1-6	1	1
14	SNORA28	1	5
15	SMURF1	1	1
16	COPG1	1	1
17	SCX	1	12
18	KLHL15	1	1
19	MIR6848	1	1
20	CTRB2	1	1
21	C12orf56	1	1
23	MIR3180-5	1	3
24	MTIF2	1	4
25	DUX4	1	1
28	RARRES3	1	8
29	MYO5A	1	1
30	ADAMTSL4-AS1	1	4
31	LOC100506860	1	3
33	TNKS	1	1
36	RAB11A	1	1
37	TRAT1	1	3
38	TRIM7	1	20
39	TRIM8	1	2
40	SLC25A39	1	2
82	ETFA	1	1
83	PUF60	1	9
84	CERK	1	1
85	SLC16A10	1	20
132	AGFG2	1	2
135	CELF1	1	3
136	CIC	1	3
137	PLEKHA4	1	6
138	NCAPG2	1	1
139	PTDSS2	1	2
140	DOT1L	1	1
142	TBL1XR1	1	1
143	XRCC3	1	1
144	C16orf72	1	1
145	NOTCH1	1	1
147	EMB	1	1
148	STK11	1	1
149	RNF10	1	1
150	PPP6R1	1	1
151	GLG1	1	10
152	USE1	1	1
154	NME2	1	5
156	TBC1D24	1	1
157	VPS37B	1	2
158	PRDM2	1	4
159	UBE2D2	1	1
160	S100B	1	1
161	CC2D1A	1	2
162	MIR550B1	1	9
164	CD69	1	1
167	FBXL12	1	1
130	VTRNA1-3	1	1
128	MKL1	1	2
127	ZC3HAV1	1	1
106	C12orf4	1	2
86	TICAM1	1	1
89	MIR6855	1	5
90	C1orf189	1	1
92	NFATC3	1	4
94	MFSD12	1	4
96	AKAP13	1	1
97	MAP2K2	1	6
99	TBC1D2B	1	6
100	ADGRA3	1	5
102	FTH1P3	1	5
103	FBXL22	1	5
105	FAM83F	1	1
109	SLX4	1	4
126	MAP4K4	1	7
110	STAT5B	1	2
111	GAST	1	2
112	SPTBN1	1	1
113	RGS1	1	1
115	C17orf99	1	1
116	STK40	1	2
119	TAOK2	1	2
120	ZBTB4	1	2
122	YWHAB	1	3
123	DYSF	1	2
124	G3BP2	1	5
125	LOC101928855	1	2
291	SMG6	1	2
